rule,file,line,col,severity,message,suggestion
R01,src/kem/classic_mceliece/pqclean_mceliece8192128_avx2/fft.c,23,17,high,Hardcoded key array size (5 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece8192128_avx2/fft_tr.c,20,17,high,Hardcoded key array size (6 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece8192128_clean/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE8192128_CLEAN_CRYPTO_CIPHERTEXTBYTES' value (208) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece8192128f_avx2/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE8192128F_AVX2_CRYPTO_CIPHERTEXTBYTES' value (208) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece8192128f_avx2/bm.c,80,11,high,Hardcoded key array size (4 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece8192128f_avx2/fft.c,23,17,high,Hardcoded key array size (5 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece8192128f_avx2/fft_tr.c,20,17,high,Hardcoded key array size (6 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece8192128f_clean/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE8192128F_CLEAN_CRYPTO_CIPHERTEXTBYTES' value (208) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/frodokem/external/efrodo/efrodo1344aes_params.h,15,0,medium,Hardcoded key/buffer size macro 'PARAMS_EXTRACTED_BITS' value (4) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/frodokem/external/efrodo/efrodo1344shake_params.h,15,0,medium,Hardcoded key/buffer size macro 'PARAMS_EXTRACTED_BITS' value (4) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
